bulletin,description,act_type_n1,grupo_muestreo
boc,"Información pública de expediente de solicitud de autorización administrativa previa y declaración de impacto ambiental del Proyecto del parque eólico SIERRA DE SEL de 45 MW, situado en los términos municipales de Voto, Ruesga y Bárcena de Cicero. Expediente EOL-44-2022.",información_pública,AAP
bopv,"ANUNCIO de 20 de febrero de 2025, de la Delegada Territorial de Industria, Transición Energética y Sostenibilidad de Bizkaia, por el que se somete a información pública la solicitud de Autorización Administrativa Previa y Declaración de Impacto Ambiental del proyecto «Parque Eólico El Roble», en los términos municipales de Sopuerta, Zalla, Galdames y Güeñes (Bizkaia).

				
2025/01167",anuncio,AAP
dog,"RESOLUCIÓN de 21 de febrero de 2025, de la Dirección General de Energías Renovables y Cambio Climático, por la que se otorgan la autorización de desmantelamiento de las instalaciones actuales del parque eólico Muras, la autorización administrativa previa y la autorización administrativa de construcción a las instalaciones relativas al proyecto del parque eólico Muras (repotenciación), sito en los ayuntamientos de Muras y Ourol (Lugo) y promovido por Iberdrola Renovables Galicia, S.A. (expediente IN408A/2024/010).",resolución,AAP
bopa,Información pública relativa a la autorización administrativa previa y declaración de utilidad pública de instalación eléctrica de alta tensión. Expte. AUTO/2025/1892 (AT-12634). [Cód. 2025-01354],información_pública,AAP
docm,"Anuncio de 16/12/2024, de la Delegación Provincial de Desarrollo Sostenible de Toledo, sobre información pública de solicitud de Nexo FV, SL, para autorización administrativa previa de proyecto de instalación solar fotovoltaica denominada Santa María Solar, situada en el término municipal de Mesegar de Tajo. Referencia: PE-722.",anuncio,AAP
boa,"ANUNCIO del Servicio Provincial de Presidencia, Economía y Justicia de Zaragoza, por el que se somete a información pública la solicitud hecha por Nedgia Aragón, SA, sobre autorización administrativa previa de la memoria anual 2025 de extensión de redes de gas natural en la provincia de Zaragoza. GAS-2846.",anuncio,AAP
boe,"Resolución de 23 de septiembre de 2024, de la Dirección General de Política Energética y Minas, por la que se otorga a Envatios Promoción XXIV, SL, autorización administrativa previa y autorización administrativa de construcción para la instalación fotovoltaica Envatios XXIV-Fase III, de 70,80 MW de potencia instalada, y su infraestructura de evacuación, en Torres de la Alameda, San Fernando de Henares, Loeches y Mejorada del Campo (Madrid).",resolución,AAP
docm,"Anuncio de 22/01/2025, de la Delegación Provincial de Desarrollo Sostenible de Ciudad Real, por el que se somete a información pública la solicitud de autorización administrativa previa y autorización administrativa de construcción de la instalación eléctrica que se cita (número de expediente 13241106371-13211104961).",anuncio,AAC
dogv,"RESOLUCIÓN de 24 de enero de 2025, del Servicio Territorial de Industria, Energía y Minas de Alicante, por la que se otorga a Esva Fotovoltaica, SL, autorización administrativa previa, autorización administrativa de construcción y aprobación del plan de desmantelamiento y restauración del terreno y el entorno afectado para una central fotovoltaica, ubicada en Elche (Alicante), de potencia instalada 1,91 MW, denominada “FV Asprillas IV”, incluida la infraestructura de evacuación. ATALFE/2022/2/03.",resolución,AAC
dogc,"Anuncio complementario al anuncio de información pública sobre la solicitud de autorización administrativa previa, autorización administrativa de construcción y autorización del proyecto de actuación específica de interés público en suelo no urbanizable del proyecto de la planta solar fotovoltaica denominada PS PIS 2N BIS, de 750 kW sobre terreno en suelo no urbanizable, en el término municipal de Saldes, en la comarca de El Berguedà (exp. FUE-2022-02930908, ref. 02381)",anuncio,AAC
boe,"Anuncio de la Dependencia Industria y Energía de la Subdelegación del Gobierno en Burgos, por el que se somete a Información Pública la solicitud de modificación de la Autorización Administrativa Previa, de modificación de la Autorización Administrativa de Construcción y de Declaración de Utilidad Pública «de parte de las infraestructuras de evacuación» de la Planta Solar Fotovoltaica «Agrupación MAIRA Beta» de 140,127 MW de potencia instalada, en los términos municipales de La Vid de Bureba, Berzosa de Bureba, Vileña, Grisaleña, Llano de Bureba, Los Barrios de Bureba, Quintanilla San García, Valluércanes, Briviesca, Vallarta de Bureba, Valle de Tobalina, Busto de Bureba, Quintanaélez, Oña, Frías y Partido de la Sierra en Tobalina, en la provincia de Burgos, promovido por la mercantil «SOLARIA Promoción y Desarrollo Fotovoltaico, S.L.U.». CÓDIGO PFot-436.",anuncio,AAC
dogv,ANUNCIO por el que se somete a información pública la solicitud de autorización administrativa previa y autorización de construcción relativa al proyecto de línea eléctrica de alta tensión. Expediente ATLINE/2023/52/46.,anuncio,AAC
boe,"Anuncio del Área Funcional de Industria y Energía de la Delegación del Gobierno en Navarra por el que se somete a Información Pública la Solicitud de Autorización Administrativa Previa, Autorización Administrativa de Construcción y Declaración de Impacto Ambiental de la ""Planta Fotovoltaica de Autoconsumo Hibridado con la Planta de Cogeneración de Viscofán de 45,045 MW de potencia instalada"" y su infraestructura de evacuación.",anuncio,AAC
boe,"Resolución de 13 de enero de 2025, de la Dirección General de Política Energética y Minas, por la que se corrigen errores en la de 25 de noviembre de 2024, por la que se acepta el desistimiento de Ceñida Solar, SLU, a la solicitud de autorización administrativa de construcción de la instalación fotovoltaica Ceñida Solar, de 57,38 MW de potencia instalada, y su infraestructura de evacuación, en Horche y Yebes (Guadalajara).",resolución,AAC
dogv,"ANUNCIO por el que se someten a tercera información pública las solicitudes de autorización administrativa previa, autorización administrativa de construcción, ocupación de vías pecuarias y la declaración de utilidad pública, en concreto, correspondientes a una central fotovoltaica denominada FV ONDA-AMBER SOLAR y su infraestructura de evacuación, con potencia a instalar de 15,4 MW, a situar en el término municipal de Onda (Castelló), sometida a evaluación de impacto ambiental. Expediente ATALFE/2020/1/12.",anuncio,AAC
docm,"Resolución de 10/03/2025, de la Dirección General de Transición Energética, sobre autorización administrativa previa y autorización administrativa de construcción de la instalación solar fotovoltaica denominada Nino, infraestructuras auxiliares y de evacuación (referencia: 2703/01590).",resolución,AAC
bon,"RESOLUCIÓN 9/2025, de 28 de enero, de la directora del Servicio de Ordenación Industrial, Infraestructuras Energéticas y Minas por la que se otorga autorización administrativa de construcción para la instalación eléctrica de almacenamiento con baterías denominada ""Oztegin"" y sus infraestructuras de evacuación, en término municipal de Lekunberri.",resolución,AAC
docm,"Notificación de 20/02/2025, de la Delegación Provincial de Desarrollo Sostenible de Toledo, por la que se acuerda publicar resolución de autorización administrativa previa, autorización administrativa de construcción y el reconocimiento, en concreto, de la utilidad pública de instalación eléctrica de alta tensión E-45211022142 C-I.",notificación,AAC
docm,"Resolución de 27/02/2025, de la Delegación Provincial de Desarrollo Sostenible de Toledo, de autorización administrativa previa y autorización administrativa de construcción de instalación eléctrica de alta tensión con número de expediente: E-45210222920.",resolución,AAC
borm,"Resolución de la Dirección General de Industria, Energía y Minas, por la que se otorga a la empresa Amber Solar Power Veinticuatro, S.L., la autorización administrativa previa y la autorización administrativa de construcción del proyecto de proyecto de instalación solar fotovoltaica denominada “FV Campos del Río” de 59,9664 MWp / 49,384 MWn, línea aéreo/subterránea de 30 kV y subestación transformadora 30/132 kV ubicada en los términos municipales de Campos del Río y Murcia, y se declara, en concreto, la utilidad pública. Expediente 4E22ATE21624.",resolución,AAC
bocyl,"RESOLUCIÓN de 3 de febrero de 2025, del Servicio Territorial de Industria, Comercio y Economía de Valladolid, dictada por delegación, por la que se concede la autorización administrativa previa y autorización administrativa de construcción de una instalación de distribución eléctrica, en el término municipal de Villalón de Campos (Valladolid). Expte.: AT-51585 (ATLI-51585).",resolución,AAC
boa,"RESOLUCIÓN de 5 de noviembre de 2024, de la Directora General de Energía y Minas del Departamento de Presidencia, Economía y Justicia, por la que se otorga la autorización administrativa previa y autorización de construcción de la planta fotovoltaica ""Lugarico"" en el término municipal de Zaragoza (Zaragoza).",resolución,AAC
docm,"Resolución de 12/03/2025, de la Delegación Provincial de Desarrollo Sostenible de Guadalajara, por la que se otorga a Infraestructuras del Agua de Castilla-La Mancha, la autorización administrativa previa y autorización administrativa de construcción del proyecto con título: Proyecto de centro de seccionamiento telemandado y acometida subterránea en doble circuito a 20 kV para suministro eléctrico a la estación depuradora de aguas residuales (EDAR) de Tórtola de Henares (Guadalajara) expediente 2025DIST-CES001.",resolución,AAC
bocyl,"RESOLUCIÓN de 3 de febrero de 2025, del Servicio Territorial de Industria, Comercio y Economía de Soria, de autorización administrativa previa y autorización de construcción del proyecto de sustitución del transformador de 400 kVA a 630 kVA del C.T. «Avenida Valladolid» (100603210), en el término municipal de Soria, titularidad de «i-DE Redes Eléctricas Inteligentes, S.A.U.». Expte.: IE/AT/11-2025.",resolución,AAC
boa,"RESOLUCIÓN de 9 de abril de 2024, de la Directora General de Energía y Minas, por la que se otorga la autorización administrativa previa y autorización de construcción de la planta fotovoltaica ""Ancar II"" en el término municipal de Alfambra (Teruel).",resolución,AAC
boe,"Resolución de 19 de febrero de 2025, de la Dirección General de Política Energética y Minas, por la que se otorga a Desarrollo Eólico Las Majas VII, SL, autorización administrativa previa y autorización administrativa de construcción, para la instalación solar fotovoltaica Las Majas VII A, de 10,89 MW de potencia instalada, para su hibridación con el parque eólico existente Las Majas VII A, de 49,40 MW, y sus infraestructuras de evacuación, en Herrera de los Navarros (Zaragoza).",resolución,AAC
boe,"Resolución de 27 de enero de 2025, de la Dirección General de Política Energética y Minas, por la que se otorga a Hornija Eólica, SLU, autorización administrativa previa y autorización administrativa de construcción, para la instalación solar fotovoltaica San Lorenzo D, de 34,377 MW de potencia instalada, para su hibridación con el parque eólico existente San Lorenzo D, de 33,75 MW, y sus infraestructuras de evacuación, en Castromonte, Torrelobatón y Peñaflor de Hornija (Valladolid), y se declara, en concreto, la utilidad pública.",resolución,AAC
boja,"Resolución de 18 de noviembre de 2024, de la Delegación Territorial de Economía, Hacienda, Fondos Europeos y de Industria, Energía y Minas en Sevilla, por la que se concede autorización administrativa previa y autorización administrativa de construcción y declaración en concreto de utilidad pública para la infraestructura eléctrica de evacuación asociada. (PP. 10167/2024).",resolución,AAC
boib,"Anuncio de la Consejería de Empresa, Empleo y Energía para la apertura del trámite de información pública de la autorización administrativa previa, autorización administrativa de construcción y declaración, en concreto, de utilidad pública de una instalación de conducción de aguas pluviales al vertedero de Biniatria de Alcúdia (2024/18646)",anuncio,AAC
borm,"Resolución de la Dirección General de Industria, Energía y Minas por la que se otorga a la empresa fotovoltaica Sangonera Solar, S.L. la autorización administrativa previa, la autorización administrativa de construcción y el reconocimiento, en concreto, de la utilidad pública de la instalación eléctrica de alta tensión de distribución denominada “Centro seccionamiento y nueva LSMT 20 kV desde entronque A/S en L/ Naveta hasta centro de seccionamiento para evacuación de electricidad procedente de PFV “El Palmar I”, en el término municipal de Murcia.",resolución,AAC
boe,"Resolución de 4 de noviembre de 2024, de la Dirección General de Política Energética y Minas, por la que se otorga a Envatios Fuencarral, SLU, autorización administrativa previa de las modificaciones y autorización administrativa de construcción para la instalación fotovoltaica Envatios XXII-Fase II, de 279,9 MW de potencia instalada, y su infraestructura de evacuación, en Cobeja y Borox (Toledo), y de Colmenar de Oreja (Madrid).",resolución,AAC
boe,"Corrección de errores del Anuncio del Área de Industria y Energía de la Subdelegación del Gobierno en Sevilla, por el que se somete a información pública la solicitud de autorización administrativa previa, declaración de impacto ambiental, autorización administrativa de construcción y declaración, en concreto, de utilidad pública de las instalaciones contempladas en los proyectos de línea aérea de transporte de energía eléctrica de doble circuito a 400 kV Carmona-Villanueva del Rey, la nueva subestación Villanueva del Rey 400 kV (Écija) y la ampliación de la subestación de Carmona 400kV, todos ellos en la provincia de Sevilla. Expediente: 171/2023.",corrección_errores,AAC
bon,"RESOLUCIÓN 167/2024, de 10 de diciembre, de la directora general de Energía, I+D+i empresarial y Emprendimiento, por la que se deniega la autorización administrativa previa, y la autorización administrativa de construcción y declaración, en concreto, de utilidad pública para la instalación de producción de energía eléctrica denominada planta solar fotovoltaica ""Tafalla Polux"", en término municipal de Tafalla.",resolución,AAC
bocyl,"INFORMACIÓN pública relativa a la solicitud de autorización administrativa previa y autorización administrativa de construcción de una instalación solar fotovoltaica y su instalación de evacuación, en el término municipal de San Marcial-El Perdigón (Zamora). Expte.: 9158 PSFV El Cerrojo - ITX.",información_pública,AAC
docm,"Resolución de 05/02/2025, de la Delegación Provincial de Desarrollo Sostenible de Toledo, de autorización administrativa previa y autorización administrativa de construcción de instalación eléctrica de alta tensión con número de expediente: E-452111122903.",resolución,AAC
docm,"Resolución de 04/03/2025, de la Delegación Provincial de Desarrollo Sostenible de Toledo, de autorización administrativa previa y autorización administrativa de construcción de instalación eléctrica de alta tensión con número de expediente E-45210222935.",resolución,AAC
docm,"Resolución de 13/03/2025, de la Delegación Provincial de Desarrollo Sostenible de Albacete, de autorización administrativa previa y autorización administrativa de construcción del proyecto de instalación de energía eléctrica denominado: Renovación de conductor en LAMT 20 kV S/C L-Tus de ST Fuensanta, derivación CT Quebradas y CT La Parrilla, emplazada en el término municipal de Yeste (Albacete). Referencia: 02211003231_6R.",resolución,AAC
bon,"Información pública de la solicitud de autorización administrativa previa, autorización administrativa de construcción y declaración de impacto ambiental de la ""planta fotovoltaica de autoconsumo hibridado con la planta de cogeneración de Viscofán de 45,045 MW de potencia instalada"" y su infraestructura de evacuación",información_pública,AAC
docm,"Resolución de 05/03/2025, de la Dirección General de Transición Energética, sobre autorización administrativa previa y autorización administrativa de construcción de las instalaciones contenidas en el proyecto denominado: Nueva posición de línea 66 kV y sustitución de autotransformador AT-1 por uno nuevo de 80 MVA ST Almansa, solicitadas por I-DE Redes Eléctricas Inteligentes, SAU. Referencia: 2401/00039.",resolución,AAC
boe,"Anuncio de los Servicios Territoriales en Tarragona del Departamento de Territorio, Vivienda y Transición Ecológica de la Generalitat de Cataluña por el que se somete a información pública la solicitud de modificación de la autorización administrativa previa, la autorización administrativa de construcción y la declaración de utilidad pública del Proyecto de la línea eléctrica de evacuación de la planta solar fotovoltaica llamada PS AENA Aeroport Reus de 12,5 MW sobre terreno en suelo no urbanizable, en el término municipal de Reus, en la comarca del Baix Camp. (Expte.FUE-2020-02168847, RAC-02530, RIPRE-02530).",anuncio,AAC
boa,"RESOLUCIÓN de 11 de noviembre de 2024, de la Directora General de Energía y Minas del Departamento de Presidencia, Economía y Justicia, por la que se otorga la autorización administrativa previa y autorización de construcción de la planta fotovoltaica ""FV Lafotovol Parque Solar IV"" en el término municipal de La Muela (Zaragoza).",resolución,AAC
bocyl,"INFORMACIÓN pública relativa a la solicitud de autorización administrativa previa y autorización administrativa de construcción de una instalación de distribución eléctrica, en el término municipal de Valladolid. Expte.: AT-51620 (ATLI-51620 ATCT-2818).",información_pública,AAC
docm,"Resolución de 07/02/2025, de la Dirección General de Transición Energética, sobre autorización administrativa previa y autorización administrativa de construcción de la instalación solar fotovoltaica para autoconsumo con excedentes denominada FV Seseña, infraestructuras auxiliares y de evacuación (referencia: 2703/01609).",resolución,AAC
dogv,"ANUNCIO por el que se someten a información pública las solicitudes de autorización administrativa previa, autorización administrativa de construcción, ocupación de vías pecuarias, y la declaración de utilidad pública, en concreto, correspondientes a la CFV «Instalación Solar Fotovoltaica Canaleja Chiva Solar» y su infraestructura de evacuación, con potencia pico de los módulos fotovoltaicos de 5.852,92 kW, potencia nominal de los inversores de 5.000 kW y capacidad de acceso concedida de 5.000 kW, en Chiva, sometida a evaluación de impacto ambiental simplificada Exp.: ATALFE/2022/25/46.",anuncio,AAC
boja,"Anuncio de 3 de febrero de 2025, de la Delegación Territorial de Economía, Hacienda, Fondos Europeos y de Industria, Energía y Minas en Huelva, por el que se somete a información pública la solicitud de autorización administrativa previa y autorización administrativa de construcción el proyecto de instalación de energía eléctrica que se cita a efectos de la solicitud de autorización ambiental unificada.",anuncio,AAC
bocyl,"RESOLUCIÓN de 11 de octubre de 2024, del Servicio Territorial de Industria, Comercio y Economía de Valladolid, dictada por delegación, por la que se concede la autorización administrativa previa y autorización administrativa de construcción de una instalación de distribución eléctrica, en el término municipal de Valladolid. Expte.: AT-51520 (ATLI-51520 ATCT-3736).",resolución,AAC
boe,"Resolución de 24 de febrero de 2025, de la Dirección General de Política Energética y Minas, por la que se otorga a Red Eléctrica de España, SAU, autorización administrativa previa y autorización administrativa de construcción de la línea aérea de transporte de energía eléctrica a 400 kV, doble circuito, de entrada y salida en la subestación Torrejón de Velasco, de la línea eléctrica a 400 kV Morata-Villaviciosa, en Torrejón de Velasco (Madrid), y se declara, en concreto, la utilidad pública.",resolución,AAC
docm,"Anuncio de 19/12/2024, de la Delegación Provincial de Desarrollo Sostenible de Toledo, sobre información pública para autorización administrativa previa, autorización administrativa de construcción y relación de bienes y derechos afectados a efectos del reconocimiento, en concreto, de la utilidad pública de las instalaciones de evacuación proyectadas con número de expediente PE-618.",anuncio,AAC
bocyl,"RESOLUCIÓN de 14 de marzo de 2025, del Servicio Territorial de Industria, Comercio y Economía de Valladolid, de autorización administrativa previa y autorización administrativa de construcción de una instalación de producción de energía eléctrica, por tecnología fotovoltaica, denominada «FV Cañadillas», y el reconocimiento de utilidad pública, en concreto, de las infraestructuras de evacuación, en el término municipal de Tordesillas (Valladolid). Expte.: FV-2581; ATCE-101.",resolución,AAC
boe,"Anuncio de la Delegación Territorial de Economía, Hacienda y Fondos Europeos y de Industria, Energía y Minas en Córdoba por el que se somete a información pública el ""Proyecto de ejecución de reforma de línea aéreas de media tensión denominada ""Ballesta"" a 20 Kv procedente de la subestación ""Pte_Nuev"" entre los apoyos existentes A5418224 y A5418219 para mejora de la red, en el término municipal de Villaviciosa (Córdoba), a efectos de autorización administrativa previa, autorización administrativa de construcción y declaración, en concreto, de utilidad pública. Expediente: AT 353/64-3.",anuncio,AAC
bocyl,"RESOLUCIÓN de 22 de enero de 2025, del Servicio Territorial de Industria, Comercio y Economía de León, por la que se otorga autorización administrativa previa y autorización administrativa de construcción a «Páramo Pvsun, S.L.U.», para la instalación de producción de energía eléctrica mediante paneles fotovoltaicos denominada «Páramo», de 1,99 MW de potencia instalada, y de su infraestructura de evacuación asociada, ubicada en el término municipal de Santa María del Páramo (León). Expte.: FV-146.2020.",resolución,AAC
docm,"Resolución de 19/12/2024, de la Dirección General de Transición Energética, sobre autorización administrativa previa y autorización administrativa de construcción de la instalación solar fotovoltaica denominada FV Polacra 8, infraestructuras auxiliares y de evacuación (referencia: 2703/01598).",resolución,AAC
docm,"Resolución de 22/10/2024, de la Delegación Provincial de Desarrollo Sostenible de Guadalajara, por la que se otorga a UFD Distribución Electricidad, SA, la autorización administrativa previa y autorización administrativa de construcción del proyecto con título: Proyecto para PS entronque en media tensión. Término municipal de Auñón (Guadalajara). Número de expediente 2023DIST023.",resolución,AAC
bocyl,"INFORMACIÓN pública relativa a la solicitud de autorización administrativa previa y autorización administrativa de construcción, para el proyecto de sustitución del centro de transformación de superficie de tipo palomar C.T. «Valdelinares» (100620800) por un centro de transformación de intemperie compacto bajo poste C.T. «Cuestas Valdelinares» (902515005), en la L.A.A.T. «34-Ucero» a 13,2 kV de la S.T.R. «Burgo de Osma» (4786) y su enlace con la red de baja tensión existente en Valdelinares, en el término municipal de Valdemaluque (Soria), titularidad de «i-DE Redes Eléctricas Inteligentes, S.A.U.». Expte.: IE/AT/59/2023.",información_pública,AAC
dogc,"Resolución TER/4763/2024, de 10 de diciembre, por la que se otorga a la empresa EDistribución Redes Digitales, SLU, la autorización administrativa previa y autorización administrativa de construcción correspondiente al proyecto de ejecución de la sustitución del transformador TR-1 por avería en la SE Collblanc, en el término municipal de L'Hospitalet de Llobregat (exp. FUE-2023-03379278)",resolución,AAC
docm,"Resolución de 12/03/2025, de la Delegación Provincial de Desarrollo Sostenible de Toledo, de autorización administrativa previa y autorización administrativa de construcción de instalación eléctrica de alta tensión con número de expediente: E-45211122377 corresponde I.",resolución,AAC
dogv,"ANUNCIO por el que se someten a información pública las solicitudes de autorización administrativa previa y autorización administrativa de construcción, y la declaración de utilidad pública, en concreto, correspondientes a una central fotovoltaica denominada PFV Onil-Alicante y su infraestructura de evacuación particular, con potencia a instalar 3,29 MW, a ubicar en el término municipal de Onil. Expediente ATALFE/2020/41.",anuncio,AAC
boa,"ANUNCIO del Servicio Provincial de Presidencia, Economía y Justicia de Huesca, por el que se someten a información pública la solicitud de autorización administrativa previa y de construcción del proyecto ""Subestación 220/132/15 kV Esquedas, ampliación posiciones línea 132 kV Reventón y Reventón 2"", en el término municipal de La Sotonera (Huesca).  Expediente HU-SP-ENE-AT-2024-116.",anuncio,AAP_AAC
boa,"ANUNCIO del Servicio Provincial de Presidencia, Economía y Justicia de Teruel, por el que se somete a información pública la solicitud de autorización administrativa previa y de construcción del proyecto subestación ""Platea 132/20 kV ampliación parque 132 kV"", titular Edistribución Redes Digitales, SLU. Expediente TE-SP-ENE-AT-2023-064.",anuncio,AAP_AAC
dog,"RESOLUCIÓN de 7 de febrero de 2025, del Departamento Territorial de A Coruña, por la que se concede la autorización administrativa previa y de construcción y la declaración de utilidad pública, en concreto, de una instalación de distribución eléctrica en el ayuntamiento de Arteixo  (expediente IN407A 2024/201-1).",resolución,AAP_AAC
dogc,"Resolución TER/58/2025, de 14 de enero, por la que se otorga a Els Plans Planta Fotovoltaica, SL, la segunda modificación de la autorización administrativa previa y de construcción y declaración de utilidad pública del proyecto de la planta solar fotovoltaica denominada Els Plans Planta Fotovoltaica, de 2,16 MW sobre terreno en suelo no urbanizable, y su infraestructura de evacuación, en el término municipal de Sarral, en la comarca de La Conca de Barberà (exp. FUE-2024-04171840)",resolución,AAP_AAC
dogv,"RESOLUCIÓN de 12 de marzo de 2025, del Servicio Territorial de Industria, Energía y Minas de Valencia, por la que se da por desistido el titular del expediente ATALFE/2020/39, iniciado por Epower Solar Renewable, SL, de autorización administrativa previa y de construcción y declaración de utilidad pública en concreto, correspondiendo a la central fotovoltaica «PSF Aquila MT» y su infraestructura de evacuación, con potencia nominal del inversor limitado a 3 MW, que se tiene que ubicar en el término municipal de Utiel.",resolución,AAP_AAC
dog,"RESOLUCIÓN de 27 de enero de 2025, del Departamento Territorial de Ourense, por la que se concede la autorización administrativa previa y de construcción de una instalación eléctrica en el ayuntamiento de San Cibrao das Viñas (expediente IN407A 2024/151-3).",resolución,AAP_AAC
dog,"RESOLUCIÓN de 13 de diciembre de 2024, del Departamento Territorial de Pontevedra, por la que se conceden las autorizaciones administrativas previa y de construcción de una instalación eléctrica en el ayuntamiento de Ponteareas (expediente IN407A 2024/273-4).",resolución,AAP_AAC
dog,"RESOLUCIÓN de 12 de febrero de 2025, del Departamento Territorial de A Coruña, por la que se concede la autorización administrativa previa y de construcción y la declaración de utilidad pública, en concreto, de una instalación de distribución eléctrica en el ayuntamiento de Ribeira (expediente IN407A 2022/290-1).",resolución,AAP_AAC
boa,"RESOLUCIÓN de 14 de febrero de 2025, del Servicio Provincial de Zaragoza, relativo a la autorización administrativa previa y de construcción, del proyecto planta solar fotovoltaica ""Vasallo"" de 1000 kW en el término municipal de Lécera. Expediente: G-Z-2024-010.",resolución,AAP_AAC
dog,"RESOLUCIÓN de 3 de marzo de 2025, del Departamento Territorial de Pontevedra, por la que se conceden las autorizaciones administrativas previa y de construcción de una instalación eléctrica en el ayuntamiento de Ponteareas (expediente IN407A 2024/269-4).",resolución,AAP_AAC
boa,"RESOLUCIÓN de 8 de enero de 2025, del Servicio Provincial de Zaragoza, relativo a la autorización administrativa previa y de construcción, del proyecto planta solar fotovoltaica ""Calampo"" de 1000 kW en el término municipal de Moros. Expediente: G-Z-2023-142.",resolución,AAP_AAC
dog,"RESOLUCIÓN de 21 de noviembre de 2024, del Departamento Territorial de A Coruña, por la que se acepta la renuncia de una autorización administrativa previa y de construcción de una instalación de distribución eléctrica.",resolución,AAP_AAC
dogc,"Resolución TER/4799/2024, de 16 de diciembre, por la que se otorga a Univergy ES SPC 25, SL, la autorización administrativa previa y de construcción del proyecto de la planta solar fotovoltaica llamada La Femosa, de 875 kW sobre terreno en suelo no urbanizable, y su infraestructura de evacuación, en el término municipal de Artesa de Lleida, en la comarca de El Segrià (exp. FUE-2022-02779916)",resolución,AAP_AAC
dog,"RESOLUCIÓN de 6 de febrero de 2025, del Departamento Territorial de Lugo, por la que se concede la autorización administrativa previa y de construcción de una instalación eléctrica en el ayuntamiento de A Fonsagrada (expediente IN407A 2024/117 AT).",resolución,AAP_AAC
boja,"Anuncio de 24 de febrero de 2025, de la Delegación Territorial de Economía, Hacienda, Fondos Europeos y de Industria, Energía y Minas en Sevilla, por el que se somete a trámite de audiencia a los interesados e información pública el procedimiento de autorización administrativa previa y de construcción y declaración, en concreto, de utilidad pública. (PP. 467/2025).",anuncio,AAP_AAC
dog,"RESOLUCIÓN de 31 de octubre de 2024, del Departamento Territorial de A Coruña, por la que se concede la autorización administrativa previa y de construcción de una instalación eléctrica en el ayuntamiento de San Sadurniño (expediente IN407A 2024/233-1).",resolución,AAP_AAC
dogc,"Resolución TER/4665/2024, de 19 de noviembre, de la Dirección General de Energía, por la que se otorga a Energia Inagotable de Anser, SL, la autorización administrativa previa y de construcción del proyecto de la planta solar fotovoltaica denominada Gualter, de 25 MW de potencia instalada sobre terreno en suelo no urbanizable, y su infraestructura de evacuación, líneas soterradas a 30 kV, subestación SED Gualter  30/110kV y línea aérea de alta tensión 110 kV, en el término municipal de Artesa de Segre, en la comarca de La Noguera (exp. FUE-2021-02207760)",resolución,AAP_AAC
boa,"RESOLUCIÓN de 23 de septiembre de 2024, del Servicio Provincial de Zaragoza, relativo a la autorización administrativa previa y de construcción, del proyecto instalación de autoconsumo fotovoltaico ""Cerdos Deluxe"" de ampliación de 200 kW, en total 300 kW, en el término municipal de Tauste. Expediente: G-Z-2024-071.",resolución,AAP_AAC
boe,"Anuncio de la Delegación Territorial de Economía, Hacienda, Fondos europeos y de Industria, Energía y Minas en Sevilla, por el que se somete a información pública la petición realizada por la mercantil ES Planta Solar 2, S.L., por la que se solicita la modificación de autorización administrativa previa y de construcción así como la declaración en concreto de utilidad pública, para las infraestructuras eléctricas de evacuación denominada ""Línea aéreo-subterránea 30 kV segregada de la instalación solar fotovoltaica HSF Gajo Guadalquivir II"", cuya traza discurre por los términos municipales de Dos Hermanas (Sevilla).",anuncio,AAP_AAC
dog,"RESOLUCIÓN de 25 de febrero de 2025, del Departamento Territorial de Lugo, por la que se concede la autorización administrativa previa y de construcción de una instalación eléctrica en el ayuntamiento de Lugo (expediente IN407A 2024/196 AT).",resolución,AAP_AAC
boa,"RESOLUCIÓN de 22 de enero de 2025, del Servicio Provincial de Zaragoza, relativo a la autorización administrativa previa y de construcción, del proyecto planta solar fotovoltaica ""Apolo"" de 1000 kW en el término municipal de Muel. Expediente: G-Z-2024-015.",resolución,AAP_AAC
boa,"RESOLUCIÓN de 18 de diciembre de 2024, de la Directora General de Energía y Minas del Departamento de Presidencia, Economía y Justicia, por la que se otorga la autorización administrativa previa y de construcción de instalación ""SE Calatorao 220 kV"".",resolución,AAP_AAC
bor,Anuncio de Información Pública de la solicitud de autorización administrativa previa y de construcción de instalación eléctrica. AT/0025728,anuncio,AAP_AAC
boa,"RESOLUCIÓN de 11 de diciembre de 2024, del Servicio Provincial de Zaragoza, relativo a la autorización administrativa previa y de construcción, del proyecto de ampliación de instalación de autoconsumo fotovoltaico ""San Lorenzo"" de ampliación de 36 kW, en total 126 kW, en el término municipal de Maella. Expediente: G-Z-2024-091.",resolución,AAP_AAC
dog,"RESOLUCIÓN de 23 de enero de 2025, del Departamento Territorial de A Coruña, por la que se concede la autorización administrativa previa y de construcción y la declaración de utilidad pública, en concreto, de una instalación de distribución eléctrica en el ayuntamiento de Sada (expediente IN407A 2024/039-1).",resolución,AAP_AAC
dog,"RESOLUCIÓN de 3 de febrero de 2025, del Departamento Territorial de A Coruña, por la que se concede la autorización administrativa previa y de construcción de una instalación de distribución eléctrica en el ayuntamiento de Culleredo (expediente IN407A 2024/234-1).",resolución,AAP_AAC
