id,bulletin,description,grupo_muestreo,act_type_n1,is_relevant_gt,procedures_gt,technologies_gt
71,bocyl,"RESOLUCIÓN de 11 de febrero de 2025, de la Delegación Territorial de Ávila, por la que se dicta informe de impacto ambiental del proyecto de sondeo para abastecimiento de agua en la parcela 67 del polígono 16, en el término municipal de Arenas de San Pedro (Ávila), promovido por «Quantum Markethink, S.L.». Expte.: E.I.A.S/2024/AV/023.",IIA,resolución,True,IIA,
72,bocyl,"RESOLUCIÓN de 15 de enero de 2025, de la Delegación Territorial de Valladolid, por la que se hace público el informe de impacto ambiental del proyecto de la instalación solar fotovoltaica «Zaratán III» y sus infraestructuras de evacuación, en los términos municipales de Zaratán y Valladolid, promovido por «Moralina Investments, S.L.U.». Expte.: EIA/VA/2024/07.",IIA,resolución,True,IIA,fotovoltaica
73,dogv,"RESOLUCIÓN de 11 de julio de 2024, de la Dirección General de Urbanismo, Paisaje y Evaluación Ambiental, por la que se formula informe de impacto ambiental del proyecto de sondeo para captación de aguas subterráneas, parcela 53 del polígono 13 de la partida Casa Nova en el término municipal de Font de la Figuera. Expediente: (3383470) 066/2024/AIA.",IIA,resolución,True,IIA,
74,boib,"Resolución de la directora general de Armonización Urbanística y Evaluación Ambiental por la cual se formula el informe de impacto ambiental del Proyecto de una captación de aguas subterráneas (sondeo), en la finca «Son Frare», polígono 7, parcela 233 en el T.M. de Petra. (Exp. 87a/2024)",IIA,resolución,True,IIA,
75,dogv,"RESOLUCIÓN de 20 de enero de 2025, de la Dirección General de Urbanismo, Paisaje y Evaluación Ambiental, por la cual se formula el informe de impacto ambiental del proyecto de sondeo para captación de aguas subterráneas en la parcela 68, polígono 10, del término municipal de Polop (Alicante). Expediente: (3635047) 302/2024/AIA.",IIA,resolución,True,IIA,
76,boib,"Resolución de la Presidencia del Instituto Mallorquín de Asuntos Sociales (IMAS) por la que aprueba la lista definitiva de las personas aspirantes que han superado el proceso selectivo de estabilización por el sistema de concurso excepcional para el ingreso como personal laboral, categoría técnico/a auxiliar, especialidad Auxiliar Técnico/a Sociosanitario/a, grupo D (actual C2) de la Residencia Oms/Sant Miquel y de los centros de día Can Clar y Son Bru, se contrata como personal laboral indefinido (laboral fijo) y se adjudican los puestos de trabajo.",NEGATIVO,resolución,False,,
77,boe,"Resolución de 10 de febrero de 2025, de la Secretaría de Estado de Sanidad, por la que se convoca la provisión de puesto de trabajo por el sistema de libre designación.",NEGATIVO,resolución,False,,
78,doe,"Resolución de 27 de febrero de 2025, de la Dirección General de Tributos, por la que se emplaza a los posibles interesados en el recurso contencioso-administrativo tramitado por el procedimiento abreviado n.º 31/2025, seguido a instancias de la mercantil Automáticos Diana, SL, que versa sobre resolución de procedimiento sancionador en materia de juego.",NEGATIVO,resolución,False,,
79,boc,"Aprobación, exposición pública de los padrones fiscales de las Tasas por Abastecimiento de Agua Potable, Recogida de Residuos Sólidos Urbanos, Servicio de Alcantarillado y Canon de Saneamiento del cuarto trimestre de 2024, y apertura del periodo voluntario de cobro.",NEGATIVO,aprobación,False,,
80,boa,"RESOLUCIÓN de 29 de enero de 2025, de la Gerencia de Sector de Alcañiz por la que se resuelve el procedimiento de provisión, por el sistema de libre designación, de un puesto de Supervisión de Unidad de Formación y Calidad en el Hospital de Alcañiz",NEGATIVO,resolución,False,,
81,boe,VALENCIA,NEGATIVO,otros,False,,
82,docm,"Resolución de 05/02/2025, de la Secretaría General, por la que se dispone la publicación de la prórroga del convenio de colaboración entre la Comunidad de Madrid y la Junta de Comunidades de Castilla-La Mancha, para la renovación de la utilización de los títulos de abono transportes del Consorcio Regional de Transportes de Madrid en los desplazamientos entre ambas comunidades autónomas para el año 2025.",NEGATIVO,resolución,False,,
83,bon,Aprobación definitiva de la plantilla orgánica de 2025,NEGATIVO,aprobación,False,,
84,boe,U.R. SUBASTAS ANDALUCIA 41,NEGATIVO,otros,False,,
85,boe,"Resolución de 5 de marzo de 2025, de la Universidad Rey Juan Carlos, por la que se nombran Profesoras y Profesores Titulares de Universidad.",NEGATIVO,resolución,False,,
86,bocm,"Resolución proceso selectivo
– Resolución de 6 de febrero de 2025, de la Dirección General de Función Pública, por la que se procede a la adjudicación de destinos correspondiente al proceso extraordinario de estabilización de empleo temporal para el acceso a plazas de carácter laboral de la categoría profesional de Titulado Superior, Especialidad Investigación Agropecuaria, Alimentaria y Medioambiental (Grupo I, Nivel 9, Área B) de la Comunidad de Madrid",NEGATIVO,resolución,False,,
87,bopa,"Resolución de 25 de febrero de 2025, de la Dirección Gerencia del Servicio de Salud del Principado de Asturias, por la que se hace público el listado provisional de puntuaciones y adjudicaciones de destinos funcionales en el proceso de movilidad voluntaria abierto y periódico para el acceso a plazas estatutarias de la Categoría de Facultativo Especialista de Área en Cirugía General y Aparato Digestivo. [Cód. 2025-01617]",NEGATIVO,resolución,False,,
88,bon,Recaudación ejecutiva Acto que se notifica: Providencia de apremioReferencia: A216000/00002/2025,NEGATIVO,notificación,False,,
89,bor,Apertura del periodo de cobranza del padrón correspondiente a la cuota general del ejercicio 2024,NEGATIVO,otros,False,,
90,docm,"Notificación de 09/01/2025, de la Delegación Provincial de Desarrollo Sostenible de Ciudad Real, por la que se notifica la hoja de aprecio de la beneficiaria en relación con procedimiento de expropiación forzosa (expediente 13211104834).",NEGATIVO,notificación,False,,
91,boe,Anuncio de formalización de contratos de: Junta de Contratación del Ministerio de Defensa. Objeto: Acuerdo marco de servicios de seguridad privada para el Ministerio de Defensa y sus Organismos Autónomos. Expediente: 2024/JCMDEF/00000024E.,NEGATIVO,anuncio,False,,
92,bopa,"Resolución de 28 de enero de 2025, de la Consejería de Presidencia, Reto Demográfico, Igualdad y Turismo, por la que se convoca para su provisión por el sistema de libre designación un puesto de trabajo de Secretario/a de Despacho de la Dirección General de Reto Demográfico. [Cód. 2025-00755]",NEGATIVO,resolución,False,,
93,boa,"ORDEN HAP/252/2025, de 27 de febrero, por la que se da publicidad al Acuerdo de 26 de febrero de 2025, del Gobierno de Aragón, por el que se otorga la aprobación expresa y formal, ratificándolo, al Acuerdo de 18 de diciembre de 2024, de la Mesa Sectorial de Administración General de la Comunidad Autónoma de Aragón, por el que se modifica el Acuerdo de 17 de noviembre de 2021, sobre criterios generales para la elaboración de las relaciones de puestos de trabajo de la Administración del personal funcionario, laboral y eventual de la Administración de la Comunidad Autónoma de Aragón y sus organismos públicos.",NEGATIVO,orden,False,,
94,bor,"Resolución 2912/2024, de 30 de diciembre, de la Consejería de Hacienda, Gobernanza Pública, Sociedad Digital y Portavocía del Gobierno, por la que se autoriza la contratación de las personas que han superado las pruebas selectivas para la provisión de cinco plazas laborales de la Administración General de la Comunidad Autónoma de La Rioja, correspondientes a la categoría profesional de Analista (a extinguir por funcionarización) (E063C/22)",NEGATIVO,resolución,False,,
95,dogv,"ANUNCIO sobre la contratación de personal laboral fijo para el puesto de trabajo 043.SERVSOC de la plantilla, por estabilización.",NEGATIVO,anuncio,False,,
96,boib,"Notificación de Corrección de errores del Edicto núm. 1720, publicado ene el BOIB núm. 24 del 22 de febrero de 2025, referido a la Resolución de concesión a los beneficiarios de las ayudas, RES2 de fecha 11 de febrero de 2025, al amparo de la Resolución del Presidente del Fondo de Garantía Agraria y Pesquera de las Islas Baleares (FOGAIBA) por la que se convocan subvenciones para inversiones no productivas vinculadas a la realización de los compromisos de agroambiente y clima, para el año 2024",NEGATIVO,notificación,False,,
97,bopa,Anuncio. Modificación de la Relación de Puestos de Trabajo del Ayuntamiento de Langreo para la inclusión del puesto de Psicólogo/a del Centro Asesor de la Mujer. [Cód. 2025-02092],NEGATIVO,anuncio,False,,
98,docm,"Anuncio de 08/01/2025, del Ayuntamiento de Torrijos (Toledo), sobre nombramientos como funcionarias de carrera para cubrir 2 plazas de auxiliar administrativo, Grupo C, Subgrupo C2.",NEGATIVO,anuncio,False,,
99,boe,BERGA,NEGATIVO,otros,False,,
